Type,Latency
4,11221
4,11914
4,12605
4,13323
4,14043
4,14770
4,15550
4,16383
5,17328
5,18304
5,19271
5,20192
5,21068
4,21822
4,22514
4,23180
4,23842
4,24511
4,25229
4,25987
5,26852
5,27775
5,28744
5,29696
5,30593
5,31446
5,32203
4,32891
4,33538
4,34178
4,34829
4,35558
4,36414
5,37378
5,38364
5,39333
5,40296
5,41194
4,41968
4,42663
4,43325
4,43981
4,44645
4,45363
4,46133
5,47019
5,47998
5,48976
5,49933
5,50860
5,51707
4,52439
4,53112
4,53772
4,54446
4,55168
4,55920
4,56792
5,57750
5,58722
5,59681
5,60590
5,61451
5,62223
4,62919
4,63569
4,64208
4,64868
4,65567
4,66327
4,67163
5,68095
5,69049
5,70020
5,70940
5,71817
5,72633
4,73356
4,74016
4,74655
4,75299
4,75979
4,76692
4,77472
5,78408
5,79378
5,80333
5,81286
5,82216
5,83049
4,83778
4,84445
4,85088
4,85726
4,86397
4,87114
4,87900
5,88825
5,89808
5,90763
5,91704
5,92614
5,93413
5,94118
4,94781
4,95430
4,96091
4,96805
4,97569
5,98568
5,99577
5,1.0056e+05
5,1.0153e+05
5,1.025e+05
5,1.0338e+05
4,1.0413e+05
4,1.0481e+05
4,1.0548e+05
4,1.0613e+05
4,1.0680e+05
4,1.0752e+05
5,1.0833e+05
5,1.0923e+05
5,1.1018e+05
5,1.1113e+05
5,1.1204e+05
5,1.1288e+05
5,1.1363e+05
5,1.1432e+05
4,1.1498e+05
4,1.1561e+05
4,1.1625e+05
4,1.1694e+05
4,1.1768e+05
5,1.1849e+05
5,1.1939e+05
5,1.2033e+05
5,1.2129e+05
5,1.2223e+05
5,1.2313e+05
5,1.2394e+05
5,1.2468e+05
4,1.2535e+05
4,1.26e+05
4,1.2666e+05
4,1.2737e+05
4,1.2812e+05
5,1.2904e+05
5,1.3005e+05
5,1.3106e+05
5,1.3205e+05
5,1.3302e+05
5,1.3392e+05
5,1.347e+05
4,1.3539e+05
4,1.3604e+05
4,1.3669e+05
4,1.3738e+05
4,1.3813e+05
5,1.3906e+05
5,1.4003e+05
5,1.4104e+05
5,1.4207e+05
5,1.4306e+05
5,1.4399e+05
4,1.4478e+05
4,1.4547e+05
4,1.4615e+05
4,1.4681e+05
4,1.4753e+05
4,1.4829e+05
4,1.4916e+05
5,1.501e+05
5,1.5109e+05
5,1.5204e+05
5,1.5294e+05
5,1.5376e+05
5,1.5452e+05
5,1.5522e+05
4,1.5589e+05
4,1.5654e+05
4,1.5722e+05
4,1.5791e+05
4,1.5863e+05
4,1.594e+05
5,1.6029e+05
5,1.6122e+05
5,1.6212e+05
5,1.6296e+05
5,1.6375e+05
5,1.6452e+05
5,1.6521e+05
4,1.6586e+05
4,1.665e+05
4,1.6714e+05
4,1.6783e+05
4,1.6857e+05
5,1.6948e+05
5,1.7044e+05
5,1.7139e+05
5,1.7232e+05
5,1.732e+05
5,1.7403e+05
5,1.7478e+05
4,1.7545e+05
4,1.7611e+05
4,1.7676e+05
4,1.7745e+05
4,1.7819e+05
4,1.7903e+05
5,1.7996e+05
5,1.809e+05
5,1.8182e+05
5,1.8267e+05
5,1.8351e+05
5,1.8428e+05
5,1.8502e+05
4,1.857e+05
4,1.8635e+05
4,1.8701e+05
5,1.8771e+05
5,1.8846e+05
5,1.8921e+05
5,1.8992e+05
5,1.906e+05
5,1.9134e+05
5,1.9206e+05
5,1.9279e+05
5,1.9349e+05
5,1.9418e+05
5,1.9488e+05
5,1.9555e+05
4,1.9618e+05
4,1.968e+05
4,1.9744e+05
4,1.9809e+05
4,1.9879e+05
4,1.9949e+05
4,2.002e+05
5,2.0099e+05
5,2.0184e+05
5,2.0271e+05
5,2.0356e+05
5,2.0438e+05
5,2.0514e+05
5,2.0582e+05
4,2.0646e+05
4,2.0708e+05
4,2.077e+05
4,2.0834e+05
4,2.0904e+05
4,2.0982e+05
5,2.1070e+05
5,2.1165e+05
5,2.1265e+05
5,2.1363e+05
5,2.1459e+05
